Round,Player,PlayerCard,Hand,Phits,Score,DealerCard,DealerScore,Result,Reason
1,1,2,2 9 6,1,17,5,24,1,Dealer Bust
1,2,5,5 6 A 4 5,3,21,5,24,1,Dealer Bust
1,3,4,4 10 5,1,19,5,24,1,Dealer Bust
1,4,3,3 2 4 5 6,3,20,5,24,1,Dealer Bust
1,5,A,A J,0,21,5,24,1,Dealer Bust
2,1,K,K 4 J,1,24,6,26,2,Bust
2,2,A,A 10,0,21,6,26,1,Dealer Bust
2,3,3,3 8 5 9,2,25,6,26,2,Bust
2,4,10,10 10,0,20,6,26,1,Dealer Bust
2,5,3,3 8 10,1,21,6,26,1,Dealer Bust
3,1,7,7 Q,0,17,8,17,3,Push
3,2,4,4 4 6 Q,2,24,8,17,2,Bust
3,3,A,A 5 6 4 5,3,21,8,17,1,Player Win
3,4,6,6 6 6,1,18,8,17,1,Player Win
3,5,A,A 4 J 9,2,24,8,17,2,Bust
4,1,Q,Q 5 A 10,2,26,Q,20,2,Bust
4,2,K,K 7,0,17,Q,20,2,Player Loss
4,3,J,J K,0,20,Q,20,3,Push
4,4,A,A 2 3 3,2,19,Q,20,2,Player Loss
4,5,Q,Q 7,0,17,Q,20,2,Player Loss
5,1,A,A J,0,21,10,24,1,Dealer Bust
5,2,Q,Q 10,0,20,10,24,1,Dealer Bust
5,3,A,A 2 7,1,20,10,24,1,Dealer Bust
5,4,4,4 4 Q,1,18,10,24,1,Dealer Bust
5,5,3,3 4 10,1,17,10,24,1,Dealer Bust
6,1,A,A 2 3 K 5,3,21,A,17,1,Player Win
6,2,6,6 10 Q,1,26,A,17,2,Bust
6,3,J,J Q,0,20,A,17,1,Player Win
6,4,8,8 7 8,1,23,A,17,2,Bust
6,5,J,J 3 10,1,23,A,17,2,Bust
7,1,Q,Q 8,0,18,4,22,1,Dealer Bust
7,2,8,8 Q,0,18,4,22,1,Dealer Bust
7,3,2,2 K A 2 K,3,25,4,22,2,Bust
7,4,Q,Q 6 Q,1,26,4,22,2,Bust
7,5,2,2 9 3 8,2,22,4,22,2,Bust
8,1,8,8 Q,0,18,K,23,1,Dealer Bust
8,2,J,J Q,0,20,K,23,1,Dealer Bust
8,3,7,7 Q,0,17,K,23,1,Dealer Bust
8,4,K,K A,0,21,K,23,1,Dealer Bust
8,5,J,J 6 9,1,25,K,23,2,Bust
9,1,6,6 10 8,1,24,5,20,2,Bust
9,2,J,J 7,0,17,5,20,2,Player Loss
9,3,Q,Q 8,0,18,5,20,2,Player Loss
9,4,A,A A 9,1,21,5,20,1,Player Win
9,5,8,8 3 6,1,17,5,20,2,Player Loss
10,1,A,A 8,0,19,2,21,2,Player Loss
10,2,5,5 4 6 A K,3,26,2,21,2,Bust
10,3,2,2 4 5 6,2,17,2,21,2,Player Loss
10,4,3,3 8 4 2,2,17,2,21,2,Player Loss
10,5,8,8 5 2 4,2,19,2,21,2,Player Loss
11,1,J,J Q,0,20,3,20,3,Push
11,2,J,J A,0,21,3,20,1,Player Win
11,3,3,3 J 6,1,19,3,20,2,Player Loss
11,4,J,J 7,0,17,3,20,2,Player Loss
11,5,3,3 9 9,1,21,3,20,1,Player Win
12,1,9,9 3 4 6,2,22,5,17,2,Bust
12,2,3,3 4 10,1,17,5,17,3,Push
12,3,7,7 Q,0,17,5,17,3,Push
12,4,9,9 10,0,19,5,17,1,Player Win
12,5,7,7 5 6,1,18,5,17,1,Player Win
13,1,J,J A,0,21,7,25,1,Dealer Bust
13,2,4,4 A 4,1,19,7,25,1,Dealer Bust
13,3,K,K 9,0,19,7,25,1,Dealer Bust
13,4,6,6 Q 2,1,18,7,25,1,Dealer Bust
13,5,7,7 5 J,1,22,7,25,2,Bust
14,1,9,9 9,0,18,J,19,2,Player Loss
14,2,A,A 10,0,21,J,19,1,Player Win
14,3,5,5 K K,1,25,J,19,2,Bust
14,4,A,A J,0,21,J,19,1,Player Win
14,5,9,9 5 9,1,23,J,19,2,Bust
15,1,2,2 A 3 6 10,3,22,9,19,2,Bust
15,2,J,J 3 J,1,23,9,19,2,Bust
15,3,8,8 5 6,1,19,9,19,3,Push
15,4,8,8 J,0,18,9,19,2,Player Loss
15,5,Q,Q K,0,20,9,19,1,Player Win
16,1,3,3 J 9,1,22,J,20,2,Bust
16,2,4,4 5 4 5,2,18,J,20,2,Player Loss
16,3,Q,Q 4 J,1,24,J,20,2,Bust
16,4,4,4 J 6,1,20,J,20,3,Push
16,5,7,7 8 A 6,2,22,J,20,2,Bust
17,1,K,K 6 Q,1,26,2,22,2,Bust
17,2,K,K 4 Q,1,24,2,22,2,Bust
17,3,A,A 7,0,18,2,22,1,Dealer Bust
17,4,Q,Q 2 9,1,21,2,22,1,Dealer Bust
